address,latitude,longitude,type
קהילת ניו יורק 44,32.0530864,34.7860865,apartment
אייגר 10,32.059122,34.7812592,apartment
ניסים אלוני 17,32.0900077,34.7963392,apartment
קמואל 63,32.0481495,34.7911479,apartment
קהילת ונציה 2,32.1127156,34.8221173,apartment
פרזון 13,32.0554613,34.7976662,apartment
ארלוזורוב 164,32.0834971,34.7883626,apartment
עולי הגרדום 24,32.1113273,34.8350788,apartment
תשרי 54,32.0444456,34.7900464,apartment
גאולה 8,32.0720999,34.7655318,apartment
ברנדייס,32.093349,34.787169,apartment
פנחס רוזן 65,32.1143404,34.8250777,apartment
נחלת יצחק 14,32.0745152,34.7972465,apartment
אבן גבירול 98,32.0833803,34.7815438,apartment
אדירים 25,32.122868,34.840932,apartment
נחלת יצחק 18,32.0741423,34.7978623,apartment
יעקב מוזר 14,32.0896472,34.7856864,apartment
יעקב דורי 1,32.0366231,34.7962753,apartment
"ד""ר אברהם אליהו הרכבי 5",32.0599377,34.8009789,apartment
דרך קיבוץ גלויות 1,32.0542551,34.7628633,apartment
מירון 12,32.0578272,34.7828694,apartment
בן יהודה 68,32.0796137,34.7698532,apartment
ישראליס 20,32.081314,34.7747038,apartment
שדרות וושינגטון 20,32.055726,34.7694689,apartment
העלייה 14,32.0597798,34.7736157,apartment
ארלינג'ר 15,32.0600174,34.7806475,apartment
בעל העקידה 21,32.052026,34.778277,apartment
דרך מנחם בגין 150,32.0792259,34.7949402,apartment
בן שפרוט 2,32.0860597,34.7846518,apartment
קלישר 1,32.0671111,34.7673683,apartment
עמינדב 6,32.0648066,34.7932144,apartment
רופין 10,32.0814109,34.7701438,apartment
"זלמן שז""ר 15",32.0554557,34.8326325,apartment
ליליין 4,32.0832874,34.7829157,apartment
אורי צבי גרינברג,32.1295119,34.7926421,apartment
יהודה הנשיא 1,32.1147694,34.7942825,apartment
הירקון 14,32.0699007,34.7648185,apartment
אחד העם 32,32.0638989,34.7719324,apartment
בר כוכבא 62,32.077615,34.7755131,apartment
רחבת הסיירים 3,32.062016,34.7975096,apartment
ניסים אלוני 4,32.0879656,34.7975539,apartment
אלכסנדר פן 8,32.1231958,34.812091,apartment
יוניצמן 21,32.1434378,34.7933246,apartment
הרצל 101,32.053987,34.7709662,apartment
שבטי ישראל 45,32.0467342,34.7556011,apartment
קרית ספר 17,32.07019,34.7820961,apartment
דרך השלום 117,32.0601098,34.8072812,apartment
דרך מנחם בגין 19,32.0631351,34.7786253,apartment
לבונטין 16,32.0619057,34.7758691,apartment
הרב צירלסון 16,32.0939351,34.7937666,apartment
שדרות הר ציון 22,32.0572072,34.7765187,apartment
אנטיגונוס 9,32.0927364,34.7848657,apartment
דיזנגוף 164,32.0840091,34.7743665,apartment
אבן גבירול 42,32.0750419,34.7819586,apartment
יצחק שדה 38,32.064924,34.7879688,apartment
שדרות יהודית 1,32.070351,34.7891644,apartment
ליאונרדו דה וינצ'י,32.0754763,34.7843757,apartment
אלעזר בן עזריה 10,32.0536293,34.7581627,apartment
יהודה עמיחי 9,32.1098202,34.7871309,apartment
שדרות ירושלים 14,32.0552769,34.7594112,apartment
לילינבלום 33,32.062665,34.7715308,apartment
יקותיאל 18,32.0510903,34.7878519,apartment
תל חיים,32.061544,34.80263,apartment
Academic College of Tel Aviv-Yafo,32.047487,34.7607544,education
Afeka College of Engineering,32.1149152,34.8181039,education
College of Technology Education,32.0852999,34.7817676,education
Kibbutzim College,32.1010004,34.7916778,education
Levinsky College of Education,32.1371328,34.7970797,education
Ort College for Teachers of Technology,32.0852999,34.7817676,education
Tel Aviv University,32.1133,34.8044,education
